Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
CHR_HSCHR15_4_CTG8	32695437	32720246	ENSG00000275568
CHR_HSCHR15_5_CTG8	82403250	82412947	ENSG00000275049
CHR_HSCHR19LRC_LRC_J_CTG3_1	54956665	54980661	ENSG00000276804
CHR_HSCHR11_1_CTG6	1586202	1591699	ENSG00000276565
CHR_HG2030_PATCH	133356700	133361317	ENSG00000281024
CHR_HSCHR22_1_CTG7	23957418	23961206	ENSG00000278695
CHR_HSCHR17_1_CTG5	46261820	46313387	ENSG00000278232
CHR_HSCHR19LRC_LRC_J_CTG3_1	54190866	54195141	ENSG00000274672
CHR_HSCHR6_MHC_COX_CTG1	28510773	28515743	ENSG00000281185
CHR_HSCHR19LRC_LRC_S_CTG3_1	55021410	55045969	ENSG00000274566
CHR_HSCHR19LRC_LRC_S_CTG3_1	54107066	54115801	ENSG00000276296
CHR_HSCHR19LRC_LRC_S_CTG3_1	54201473	54208260	ENSG00000278081
CHR_HSCHR19LRC_COX1_CTG3_1	54115536	54131896	ENSG00000277154
GL000195.1	173872	179372	ENSG00000278198
CHR_HSCHR19LRC_COX2_CTG3_1	54040833	54063953	ENSG00000275577
MT	3307	4262	ENSG00000198888
MT	4470	5511	ENSG00000198763
MT	5904	7445	ENSG00000198804
MT	7586	8269	ENSG00000198712
MT	8366	8572	ENSG00000228253
MT	8527	9207	ENSG00000198899
MT	9207	9990	ENSG00000198938
MT	10059	10404	ENSG00000198840
MT	10470	10766	ENSG00000212907
MT	10760	12137	ENSG00000198886
CHR_HSCHR19LRC_LRC_S_CTG3_1	55052029	55070922	ENSG00000275474
MT	12337	14148	ENSG00000198786
MT	14149	14673	ENSG00000198695
MT	14747	15887	ENSG00000198727
KI270731.1	10598	13001	ENSG00000278633
CHR_HSCHR19LRC_PGF2_CTG3_1	54102906	54107026	ENSG00000277722
CHR_HG2030_PATCH	133348362	133351574	ENSG00000280858
CHR_HSCHR15_4_CTG8	29850002	29972346	ENSG00000277401
CHR_HSCHR6_MHC_COX_CTG1	30904070	30916173	ENSG00000285224
CHR_HSCHR19LRC_LRC_T_CTG3_1	54102906	54107026	ENSG00000275724
CHR_HSCHR19LRC_COX2_CTG3_1	54173854	54190480	ENSG00000278322
CHR_HSCHR19LRC_PGF2_CTG3_1	54094681	54102740	ENSG00000278378
CHR_HSCHR19LRC_COX2_CTG3_1	54636119	54671975	ENSG00000275796
CHR_HSCHR19LRC_PGF2_CTG3_1	54190866	54195141	ENSG00000278712
CHR_HSCHR6_MHC_COX_CTG1	29060593	29073129	ENSG00000274063
CHR_HSCHR19LRC_PGF1_CTG3_1	54115536	54131896	ENSG00000277707
CHR_HG2030_PATCH	133328922	133336546	ENSG00000281309
19	50466785	50476753	ENSG00000142530
19	50432903	50466321	ENSG00000086967
19	49527618	49546962	ENSG00000142552
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54726054	54736537	ENSG00000275433
6	138161921	138344663	ENSG00000112379
15	63121800	63142061	ENSG00000103642
12	120443961	120446412	ENSG00000170855
7	142908101	142933808	ENSG00000127412
1	248590487	248597700	ENSG00000184022
1	248231417	248244679	ENSG00000171180
19	42068477	42081549	ENSG00000105732
1	75786197	75795079	ENSG00000137955
1	161166410	161178013	ENSG00000143224
12	48921518	48926474	ENSG00000134285
X	84317874	84502479	ENSG00000165259
12	48857145	48865898	ENSG00000172602
1	154993586	154994315	ENSG00000163352
20	59863563	59933655	ENSG00000196074
16	1997654	2009823	ENSG00000167962
7	142749468	142753076	ENSG00000204983
CHR_HSCHR6_MHC_MANN_CTG1	32433363	32446554	ENSG00000225412
12	48813794	48828941	ENSG00000167535
1	244835322	244845057	ENSG00000203667
1	183646404	183653316	ENSG00000173627
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54724479	54736494	ENSG00000277392
1	183929854	184037729	ENSG00000198756
5	79991311	80083287	ENSG00000113296
19	32345594	32387667	ENSG00000168813
1	43991359	43996528	ENSG00000159214
21	39445855	39515506	ENSG00000185437
6	33272010	33276510	ENSG00000231500
1	184051651	184123978	ENSG00000198860
11	125096545	125111763	ENSG00000150433
21	39377698	39428528	ENSG00000182093
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54738481	54752986	ENSG00000274108
14	24290598	24299833	ENSG00000157379
17	30194319	30236002	ENSG00000108576
6	33250272	33272047	ENSG00000223501
1	74705482	74733408	ENSG00000116791
14	69050881	69153150	ENSG00000139990
1	154962298	154974395	ENSG00000160691
1	184387058	184629020	ENSG00000116667
19	32405543	32485895	ENSG00000178904
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54816432	54830744	ENSG00000278368
2	61824854	61854143	ENSG00000170264
1	184690231	184754913	ENSG00000116406
9	82979585	83063177	ENSG00000165105
1	160876539	160885170	ENSG00000179914
1	74733152	74766678	ENSG00000162623
1	27612064	27635277	ENSG00000000938
1	184790724	184974550	ENSG00000135842
9	120855652	120894896	ENSG00000119403
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54803572	54814476	ENSG00000277750
19	10654261	10692417	ENSG00000129351
1	160945025	160954799	ENSG00000158764
1	185045364	185102608	ENSG00000121481
1	75128434	75161533	ENSG00000162624
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	54769746	54783981	ENSG00000277356
19	49340595	49362457	ENSG00000074219
14	69259277	69357033	ENSG00000100626
1	185118098	185157072	ENSG00000121486
1	160997957	161038962	ENSG00000270149
CHR_HSCHR6_MHC_MANN_CTG1	32332098	32411315	ENSG00000206245
1	161037631	161038990	ENSG00000215845
16	84699978	84779922	ENSG00000103194
1	160995211	161021348	ENSG00000158769
2	231108230	231125118	ENSG00000135914
1	185157080	185291765	ENSG00000116668
CHR_HSCHR19LRC_LRC_I_CTG3_1	54040833	54063953	ENSG00000276066
CHR_HSCHR19LRC_COX2_CTG3_1	54102906	54107026	ENSG00000276220
CHR_HSCHR19LRC_LRC_I_CTG3_1	54970903	55006759	ENSG00000274638
6	139240061	139292139	ENSG00000164440
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54874290	54891462	ENSG00000273738
19	50476400	50490870	ENSG00000161671
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54816470	54830813	ENSG00000278079
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54803599	54814548	ENSG00000276779
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54832771	54848624	ENSG00000273526
1	155208699	155213824	ENSG00000173171
12	56101331	56109289	ENSG00000257411
12	56104319	56113907	ENSG00000170515
1	155169409	155187272	ENSG00000273088
4	99948086	99950388	ENSG00000164032
9	105244622	105439171	ENSG00000070214
11	61130256	61161617	ENSG00000167987
15	63125872	63158021	ENSG00000185088
6	137197484	137219449	ENSG00000027697
CHR_HSCHR6_MHC_MANN_CTG1	32975593	32992541	ENSG00000206235
2	62500221	62511894	ENSG00000186889
22	50481556	50486440	ENSG00000128165
14	92513774	92688994	ENSG00000100599
19	49422414	49423441	ENSG00000142538
1	248636356	248645278	ENSG00000177151
19	41998321	42069498	ENSG00000105737
1	154957026	154963853	ENSG00000163348
1	43991500	44031467	ENSG00000196517
1	154924734	154936991	ENSG00000163344
1	244729898	244730962	ENSG00000284188
19	41956681	41959390	ENSG00000105404
16	89919165	89936092	ENSG00000198211
6	43509702	43562419	ENSG00000171453
5	79689877	79800240	ENSG00000164309
11	116835751	116837950	ENSG00000118137
5	158695916	159099761	ENSG00000164330
6	99432379	99521728	ENSG00000123552
12	131949920	132081102	ENSG00000183495
1	15684332	15734769	ENSG00000116786
12	131929200	131945896	ENSG00000177192
14	74056850	74084493	ENSG00000119711
5	79372636	79514217	ENSG00000152413
12	131894651	131923167	ENSG00000177169
1	237943724	237945275	ENSG00000270188
14	73949926	73963670	ENSG00000119723
17	69414698	69553861	ENSG00000108984
1	180154834	180204030	ENSG00000116260
12	48472665	48473624	ENSG00000139223
6	136231024	136250335	ENSG00000146410
1	179882042	179925000	ENSG00000143337
12	48337180	48351414	ENSG00000167528
1	74026015	74198187	ENSG00000162620
CHR_HSCHR6_MHC_MANN_CTG1	32230151	32234908	ENSG00000236697
16	1984207	1987749	ENSG00000127554
6	159906690	159916530	ENSG00000130368
12	110124335	110218797	ENSG00000122970
9	128633661	128656787	ENSG00000119333
19	55282072	55312533	ENSG00000160469
9	136881912	136926607	ENSG00000127191
6	97142161	97283217	ENSG00000146263
17	43216941	43305397	ENSG00000236383
14	73711783	73714372	ENSG00000176903
5	157671553	157680143	ENSG00000187658
5	7859159	7869037	ENSG00000124279
12	70515866	70637440	ENSG00000127329
CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54905329	54909244	ENSG00000276450
1	235661041	235883640	ENSG00000143669
6	96889313	96897881	ENSG00000123545
19	41708585	41729798	ENSG00000105388
5	177133025	177300215	ENSG00000165671
6	96015984	96215612	ENSG00000172461
1	159712289	159714589	ENSG00000132693
1	154206696	154220637	ENSG00000143612
12	7919230	7936275	ENSG00000059804
3	184346185	184361651	ENSG00000114859
1	234604269	234609525	ENSG00000168264
8	100685816	100722809	ENSG00000070756
1	109733932	109741038	ENSG00000134202
5	179806398	179838078	ENSG00000161011
1	109750080	109764027	ENSG00000198758
12	124911604	124917368	ENSG00000150991
1	158774222	158781204	ENSG00000188340
1	232397965	232561558	ENSG00000116991
1	101802574	101997030	ENSG00000118733
1	231528653	231819244	ENSG00000270106
14	73537114	73543794	ENSG00000184227
19	58083838	58118427	ENSG00000121413
17	69147214	69244846	ENSG00000154263
1	109656081	109674836	ENSG00000168765
1	38864501	38881617	ENSG00000274944
7	130393771	130442433	ENSG00000106477
1	38862964	38874105	ENSG00000214114
14	95709967	95714196	ENSG00000100721
19	12891026	12914207	ENSG00000105607
1	173714941	173786702	ENSG00000076321
1	27005020	27012836	ENSG00000158246
1	173039960	173050963	ENSG00000120337
12	124324415	124567589	ENSG00000196498
5	179732850	179777286	ENSG00000161021
5	132813587	132816797	ENSG00000198944
1	231018958	231040246	ENSG00000182118
13	49660723	49691475	ENSG00000123179
19	57900296	57916610	ENSG00000173480
19	41301587	41353911	ENSG00000105329
19	12875211	12881468	ENSG00000105612
19	43766533	43781261	ENSG00000104783
X	154144224	154159032	ENSG00000102076
3	98497604	98498663	ENSG00000231861
CHR_HSCHR6_MHC_DBB_CTG1	31512399	31528755	ENSG00000230624
CHR_HSCHR6_MHC_MCF_CTG1	31783184	31794200	ENSG00000236902
1	169792529	169794966	ENSG00000171806
14	21521081	21537216	ENSG00000165821
1	20139326	20150386	ENSG00000158786
5	176542511	176595974	ENSG00000074276
1	67685061	67688338	ENSG00000116717
19	38304161	38305009	ENSG00000167644
21	5972924	5973383	ENSG00000274559
2	73828916	73873659	ENSG00000124356
9	128504700	128542288	ENSG00000119392
5	132747445	132754403	ENSG00000205089
4	87160103	87240314	ENSG00000145332
12	49866896	49904217	ENSG00000135472
14	20468954	20477094	ENSG00000198805
1	168540765	168543997	ENSG00000143185
1	168576473	168582077	ENSG00000143184
14	67189393	67228550	ENSG00000172717
1	153678637	153693992	ENSG00000169418
13	52024691	52033600	ENSG00000253797
2	61187463	61470769	ENSG00000115464
1	156737303	156741590	ENSG00000143314
13	52012398	52032171	ENSG00000253710
CHR_HSCHR6_MHC_SSTO_CTG1	32300437	32379326	ENSG00000232106
2	75652000	75710989	ENSG00000005436
21	30487057	30487436	ENSG00000186965
1	168695459	168729264	ENSG00000143196
13	96985719	96994730	ENSG00000165621
9	112683926	112718236	ENSG00000148153
21	30491464	30491985	ENSG00000244025
21	30496824	30497133	ENSG00000186967
21	30501657	30502117	ENSG00000186977
1	150574551	150579738	ENSG00000143384
12	123383773	123409358	ENSG00000183955
5	176526697	176538025	ENSG00000146083
9	136658856	136672678	ENSG00000172889
8	67952118	68237030	ENSG00000046889
5	36098412	36151961	ENSG00000164187
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54769765	54784000	ENSG00000274782
CHR_HSCHR5_3_CTG1	1392790	1449666	ENSG00000276996
7	49773661	49921950	ENSG00000188730
1	150549369	150560937	ENSG00000143382
12	123410683	123436717	ENSG00000150977
12	112570380	112898881	ENSG00000089169
7	49850421	50121329	ENSG00000042813
5	116084991	116412762	ENSG00000145781
7	95772506	96110322	ENSG00000158560
1	169394870	169460669	ENSG00000117477
12	69585334	69601570	ENSG00000166226
21	30541535	30541864	ENSG00000186925
1	9035107	9088478	ENSG00000142583
21	30560875	30561314	ENSG00000244362
12	123457641	123473154	ENSG00000184209
21	30590105	30590397	ENSG00000206106
21	30592440	30593075	ENSG00000212938
21	30598590	30598902	ENSG00000186930
21	30601087	30601382	ENSG00000186924
16	30658431	30670814	ENSG00000156860
7	50096036	50159830	ENSG00000164500
12	123470054	123533718	ENSG00000188026
CHR_HSCHR19_1_CTG2	21027036	21043218	ENSG00000278780
13	97221434	97394120	ENSG00000139793
1	169132531	169367967	ENSG00000143156
2	75646783	75690851	ENSG00000115364
14	67359997	67386516	ENSG00000134001
7	139025706	139036029	ENSG00000146858
4	56530609	56603507	ENSG00000249693
CHR_HSCHR6_MHC_SSTO_CTG1	32401346	32414522	ENSG00000224242
14	20505537	20511169	ENSG00000182545
5	179641544	179645046	ENSG00000204661
10	88879734	88975153	ENSG00000138134
4	56435741	56464579	ENSG00000128050
3	121663199	121749767	ENSG00000173230
14	67241109	67335819	ENSG00000072415
1	37860697	37947057	ENSG00000204084
1	156742107	156766925	ENSG00000143321
8	9136255	9151574	ENSG00000173281
15	59372693	59523549	ENSG00000157470
1	109910242	109930992	ENSG00000184371
5	179797597	179806952	ENSG00000161013
X	78656069	78659328	ENSG00000179300
15	79432516	79472290	ENSG00000169330
6	73362677	73364171	ENSG00000203908
1	45786987	46036124	ENSG00000086015
5	6713007	6757048	ENSG00000112941
9	136791379	136800595	ENSG00000272896
4	87799581	87812435	ENSG00000029559
4	87608553	87616910	ENSG00000152591
1	150926263	150964744	ENSG00000143379
15	72340919	72376476	ENSG00000213614
19	4528427	4540067	ENSG00000267385
3	184335926	184348421	ENSG00000175182
1	26876133	26890297	ENSG00000142751
12	69738681	69823204	ENSG00000127328
6	43182175	43224587	ENSG00000112659
1	45627304	45688113	ENSG00000159592
1	231241207	231277973	ENSG00000116906
12	7729415	7751605	ENSG00000198178
1	20633455	20651511	ENSG00000158828
10	95036772	95069497	ENSG00000138115
1	230314482	230426371	ENSG00000177614
6	158232236	158511828	ENSG00000130338
1	230057990	230282124	ENSG00000143641
3	156825481	157046129	ENSG00000197980
16	30740381	30744281	ENSG00000281991
19	12884422	12887199	ENSG00000105610
16	30698209	30741409	ENSG00000080603
14	21667940	21673818	ENSG00000276240
2	156435290	156613735	ENSG00000115159
